ID,Volume,Action,Priority,Listing / lead,Source,Neighbourhood,Address / locator,Type,Rent text,Approx monthly share,Est drive min,Km straight-line,Parking,Internet / utilities,Availability,Furnishing,Criteria fit,Why add / note,What to verify,Date seen,Last checked,URL,Maps link,Score,Latitude,Longitude,Archived,IsNew
D20,Vol 2 - Stretch / Flavour,Worth considering,45,Western Off-Campus: Wortley one-bedroom Victorian,offcampus.uwo.ca,Wortley / Old South,Wortley Village,1-bed apartment,Price not visible,,13,5.1,Parking included,Heat/water included,Unknown,Unfurnished,Private apartment,Great lifestyle; charming/quiet; check price/current,Strong stretch if available,2026-05-30,2026-05-30,https://offcampus.uwo.ca/Listings/Details/30208,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Wortley+Village%2C+London%2C+ON,75,42.966,-81.257,FALSE,FALSE
C9,Vol 2 - Stretch / Flavour,Worth considering,46,Roomies: Wonderland Rd S room,roomies.ca,Westmount / Bostwick,Wonderland Rd S,Unfurnished room in apartment,$700 inclusive,700,14,5.5,Yes,Likely,Unknown,Unfurnished,Private room,Cheap all-in in SW London; verify exact location,Good budget stretch,2026-05-30,2026-05-30,https://www.roomies.ca/rooms/london-on/parking,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Wonderland+Rd+S%2C+London%2C+ON,75,42.94,-81.28,FALSE,FALSE
B6,Vol 1 - Core Fits,Worth considering,47,Kijiji: 55 Ashley Cres room/master,kijiji.ca,White Oaks,55 Ashley Cres,Room in townhouse,Price not visible,,6,2,Yes,Divided utilities,June 1,Unknown,Private room; shared 1.5 bath,Main-floor master; parking 1 listed,Verify rent/utilities and household,2026-05-30,2026-05-30,https://www.kijiji.ca/v-apartments-condos/london/room-for-rent-55-ashley-crescent-london-ontario/1736066985,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=55+Ashley+Cres%2C+London%2C+ON,73,42.933,-81.237,FALSE,FALSE
E21,Vol 2 - Stretch / Flavour,Worth considering,48,Realtor.ca: south-London 2-bed condo (split play),realtor.ca,Pond Mills / White Oaks,South London condos,2-bed condo for rent,"$1,800-$2,000 (split ~$950)",950,8,2.8,Usually 1 spot incl.,Verify,Current,Unfurnished,2-bed split; private condo; MLS-listed (trustworthy),MLS condos are well-documented and low-scam; a 2-bed split lands near $950pp in a core area.,"Pick an exact unit; confirm parking count, internet, and roommate-lease rules.",2026-05-31,2026-05-31,https://www.realtor.ca/on/london/real-estate,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=South%20London%20condos%2C+London%2C+ON,73,42.955,-81.20,FALSE,TRUE
D13,Vol 2 - Stretch / Flavour,Stretch only,49,Zumper: 101 Veronica Avenue,zumper.com,Glen Cairn,101 Veronica Ave,Managed 1-2 bed,"$1,497-$1,677",1497,8,2.9,Assigned parking,No,Current,Unfurnished,Private apartment,"Close, clean managed stretch",Over budget but practical,2026-05-30,2026-05-30,https://www.zumper.com/apartments-for-rent/london-on/westminster/cheap,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=101+Veronica+Ave%2C+London%2C+ON,72,42.96,-81.207,FALSE,FALSE
E18,Vol 2 - Stretch / Flavour,Worth considering,50,RentSeeker.ca: south-London managed listings,rentseeker.ca,Westminster / Pond Mills,South London (map view),Managed apartment listings,"$1,200-$1,600",1300,10,3.6,Verify,Varies,Current,Unfurnished,Private apartment; aggregator with landlord contacts,"Good aggregator with floorplans, videos and direct landlord contact info - cross-checks Zumper/Rentals.ca.","Pick a Westminster/Pond Mills building near OIART; confirm parking, internet, July.",2026-05-31,2026-05-31,https://www.rentseeker.ca/rentals/apartments/ontario/london,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=South%20London%20%28map%20view%29%2C+London%2C+ON,72,42.95,-81.21,FALSE,TRUE
D6,Vol 2 - Stretch / Flavour,Worth considering,51,Rentals.ca: Gordon Avenue,rentals.ca,Highland / Southcrest,500 Gordon Ave,Managed studio-2 bed,"$1,399+",1399,12,4.4,Outdoor/indoor parking; extra,Heat/water included,Current,Unfurnished,Private apartment,Amenities + close enough; stretch,Good lifestyle stretch,2026-05-30,2026-05-30,https://rentals.ca/london/gordon-avenue,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=500+Gordon+Ave%2C+London%2C+ON,72,42.957,-81.256,FALSE,FALSE
E11,Vol 1 - Core Fits,Worth considering,52,LS Rentals: managed 1-bed near transit (student-focused),lsrentals.ca,South / Central London,South London (verify building),"Managed 1-bed, partly furnished living room","$1,150-$1,400",1200,12,4.5,Likely,Wi-Fi-ready; verify inclusion,Verify July,Partly furnished,Private 1-bed; student-managed; transit-close,Local student-focused manager with verified listings and partly furnished living rooms - lower scam risk.,"Confirm a south-end unit close to OIART, parking, internet and July start.",2026-05-31,2026-05-31,https://lsrentals.ca/apartments-for-rent-in-london-ontario-for-students/,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=South%20London%20%28verify%20building%29%2C+London%2C+ON,72,42.97,-81.25,FALSE,TRUE
E15,Vol 2 - Stretch / Flavour,Worth considering,53,Old Oak Properties: managed apartment (south/central),oldoakproperties.com,Westmount / South London,Various Old Oak buildings,Managed studio/1-bed,"$1,250-$1,600",1300,13,5.0,Often included/extra,Heat/water usually included,Current,Unfurnished,Private apartment; professional management,"Major 65-yr local landlord - clean, well-managed buildings; good for a no-drama private unit.","Pick a south/west building close to OIART; confirm parking, internet, July.",2026-05-31,2026-05-31,https://www.oldoakproperties.com/,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Various%20Old%20Oak%20buildings%2C+London%2C+ON,72,42.96,-81.27,FALSE,TRUE
C5,Vol 2 - Stretch / Flavour,Worth considering,54,Roomies: Base Line Rd W room,roomies.ca,Southcrest / Westmount,Base Line Rd W,Unfurnished room in apartment,"$1,000 + hydro split",1000,15,5.9,Unknown,Internet split,Unknown,Unfurnished,Private room,Pool/gym nearby; hydro extra,"Lifestyle stretch, verify parking",2026-05-30,2026-05-30,https://www.roomies.ca/rooms/london-on/unfurnished,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Base+Line+Rd+W%2C+London%2C+ON,72,42.96,-81.275,FALSE,FALSE
E19,Vol 2 - Stretch / Flavour,Worth considering,55,"Roomies: Proudfoot Lane room, own bath + in-unit laundry",roomies.ca,Oakridge / West London,Proudfoot Lane (N6H 5G5),"Unfurnished room, private bath, in-unit laundry",$700,700,16,6.4,Verify,Verify,Verify,Unfurnished,Private room; own bathroom; in-unit washer,Own bathroom + in-unit laundry at $700 is great value; west end pushes the drive past 15 min.,"Confirm parking, internet, and accept the longer commute before pursuing.",2026-05-31,2026-05-31,https://www.roomies.ca/rooms/london-ontario,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Proudfoot%20Lane%20%28N6H%205G5%29%2C+London%2C+ON,72,42.99,-81.30,FALSE,TRUE
E12,Vol 1 - Core Fits,Worth considering,56,Better Student Rentals: room/house near south campus,betterstudentrentals.ca,South London,South London student houses,Room in shared student house,$600-$850,725,13,4.8,Verify,Often included,Verify July,Unfurnished,Private bedroom; student house; direct landlord contact,Local public-good student platform - browse rooms/houses and contact landlords directly.,"Confirm a south-end house close to OIART (many lean Fanshawe/Western), parking, July.",2026-05-31,2026-05-31,https://betterstudentrentals.ca/,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=South%20London%20student%20houses%2C+London%2C+ON,71,42.97,-81.245,FALSE,TRUE
E17,Vol 2 - Stretch / Flavour,Worth considering,57,liv.rent: verified south-London room/unit (under $1000 filter),liv.rent,South / West London,Filter: London under $1000,Room or studio (verified landlords),"$800-$1,000",900,13,4.9,Filterable,Filterable (some incl.),Filter by date,Unfurnished,Private room/unit; ID-verified landlords (low scam risk),"liv.rent verifies landlords and lets you filter under $1,000, furnished/unfurnished, pet-friendly - safer sourcing.","Filter to south/west London near OIART; confirm parking, internet, July.",2026-05-31,2026-05-31,https://liv.rent/rental-listings/city/london,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Filter%3A%20London%20under%20%241000%2C+London%2C+ON,71,42.96,-81.27,FALSE,TRUE
E16,Vol 2 - Stretch / Flavour,Worth considering,58,Drewlo Holdings: managed tower (south/southeast),drewloholdings.com,Southeast / South London,Drewlo SE London buildings,Managed 1-2 bed tower,"$1,400-$1,800 (split for 2-bed)",900,12,4.7,Garage/surface (extra),Heat/water included; internet extra,Current,Unfurnished,"Private/split apartment; amenities (pools, gyms)","9,000+ unit local operator with amenity buildings; 2-bed split could land near $900pp.","Choose a southeast building near the 401/OIART; confirm parking fee, internet, July.",2026-05-31,2026-05-31,https://www.drewloholdings.com/apartments-for-rent/cities/london,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Drewlo%20SE%20London%20buildings%2C+London%2C+ON,70,42.95,-81.20,FALSE,TRUE
D1,Vol 2 - Stretch / Flavour,Stretch only,59,Rentals.ca: White Oaks Gate,rentals.ca,White Oaks,1669-1671 Jalna Blvd,Managed 1-2 bed apartment,"$1,609+ solo / split",1609,6,2,Surface parking available; extra,"No, internet available",Current,Unfurnished,Private apartment,Very close and clean managed option; over solo budget,Great if budget stretches or split,2026-05-30,2026-05-30,https://rentals.ca/london/white-oaks-gate,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=1669-1671+Jalna+Blvd%2C+London%2C+ON,69,42.93,-81.236,FALSE,FALSE
E20,Vol 2 - Stretch / Flavour,Worth considering,60,Exclusive Rentals London: managed student unit,exclusiverental.ca,South / Central London,Verify building,Managed apartment / student unit,"$1,200-$1,600",1300,13,4.8,Often included,Often included,Verify July,Unfurnished/partly,Private apartment; 20-yr student-housing manager,Established student-housing manager with advanced area/rent/size filters and verified units.,"Most stock leans Western/Fanshawe - confirm a south-end unit near OIART, parking, internet, July.",2026-05-31,2026-05-31,https://www.exclusiverental.ca/student-rentals-in-london-ontario/,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Verify%20building%2C+London%2C+ON,69,42.97,-81.25,FALSE,TRUE
E22,Vol 2 - Stretch / Flavour,Worth considering,61,uhomes: purpose-built student suite (verify south fit),uhomes.com,Central / North London,Verify (often near Western),Purpose-built student studio/ensuite,"$1,100-$1,500",1300,16,6.0,Building parking (extra),Usually included,Pre-orders Spring 2026,Furnished,Private/ensuite student suite; managed; bills often in,Purpose-built student housing with bills/wifi usually bundled - convenient but most sits near Western (longer drive).,"Only pursue a south-end building; confirm distance to OIART, parking, July.",2026-05-31,2026-05-31,https://en.uhomes.com/ca/london,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Verify%20%28often%20near%20Western%29%2C+London%2C+ON,69,42.99,-81.27,FALSE,TRUE
